Attribute,Process,Commodity,Sector,Subsector,Technology,Fuel,Enduse,Unit,Parameters,FuelGroup
VAR_Cap,ADCF-IRG-Irg-ELC,-,Agriculture,Dairy Cattle Farming,Irrigator,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-IRG-IrgVSD-ELC,-,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-IRG-IrgVSD_ELC00,-,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-IRG-Irg_ELC00,-,Agriculture,Dairy Cattle Farming,Irrigator,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-LIG--ELC,-,Agriculture,Dairy Cattle Farming,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-LIG-LT_ELC00,-,Agriculture,Dairy Cattle Farming,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-Bike--ELC,-,Agriculture,Dairy Cattle Farming,Farm Bike,Electricity,Off-road Motorbike Use,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-Bike--PET,-,Agriculture,Dairy Cattle Farming,Farm Bike,Petrol,Off-road Motorbike Use,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Mob-Bike-_PET00,-,Agriculture,Dairy Cattle Farming,Farm Bike,Petrol,Off-road Motorbike Use,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Mob-MTr--DSL,-,Agriculture,Dairy Cattle Farming,Truck (Agricultural),Diesel,Truck Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Mob-MTr--ELC,-,Agriculture,Dairy Cattle Farming,Truck (Agricultural),Electricity,Truck Services,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-MTr--H2R,-,Agriculture,Dairy Cattle Farming,Truck (Agricultural),Green Hydrogen,Truck Services,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-MTr-_DSL00,-,Agriculture,Dairy Cattle Farming,Truck (Agricultural),Diesel,Truck Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Mob-Trac--DSL,-,Agriculture,Dairy Cattle Farming,Tractor (Agricultural),Diesel,Tractor Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Mob-Trac--ELC,-,Agriculture,Dairy Cattle Farming,Tractor (Agricultural),Electricity,Tractor Services,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-Trac--H2R,-,Agriculture,Dairy Cattle Farming,Tractor (Agricultural),Green Hydrogen,Tractor Services,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-Trac-_DSL00,-,Agriculture,Dairy Cattle Farming,Tractor (Agricultural),Diesel,Tractor Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Mob-Uti--DSL,-,Agriculture,Dairy Cattle Farming,Utility Vehicle (Agricultural),Diesel,Farm Vehicle,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Mob-Uti--ELC,-,Agriculture,Dairy Cattle Farming,Utility Vehicle (Agricultural),Electricity,Farm Vehicle,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-Uti--H2R,-,Agriculture,Dairy Cattle Farming,Utility Vehicle (Agricultural),Green Hydrogen,Farm Vehicle,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Mob-Uti-_DSL00,-,Agriculture,Dairy Cattle Farming,Utility Vehicle (Agricultural),Diesel,Farm Vehicle,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ADCF-MoTP-Stat-VPVSD-ELC,-,Agriculture,Dairy Cattle Farming,Vacuum Pump with VSD,Electricity,Milking Machine,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Stat-VPVSD_ELC00,-,Agriculture,Dairy Cattle Farming,Vacuum Pump with VSD,Electricity,Milking Machine,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Stat-VacP-ELC,-,Agriculture,Dairy Cattle Farming,Vacuum Pump,Electricity,Milking Machine,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-MoTP-Stat-VacP_ELC00,-,Agriculture,Dairy Cattle Farming,Vacuum Pump,Electricity,Milking Machine,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-PUMP--ELC,-,Agriculture,Dairy Cattle Farming,Transfer Pump,Electricity,Pumping,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-PUMP-Pump_ELC00,-,Agriculture,Dairy Cattle Farming,Transfer Pump,Electricity,Pumping,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-RFGR--ELC,-,Agriculture,Dairy Cattle Farming,Refrigerator,Electricity,Refrigeration,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-RFGR-HRECSys-ELC,-,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Electricity,Refrigeration,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-RFGR-HRECSys_ELC00,-,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Electricity,Refrigeration,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-RFGR-RF_ELC00,-,Agriculture,Dairy Cattle Farming,Refrigerator,Electricity,Refrigeration,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-WH-Cylinder-ELC,-,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Electricity,Water Heating,GW,Technology Capacity,Electricity
VAR_Cap,ADCF-WH-Cylinder_ELC00,-,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Electricity,Water Heating,GW,Technology Capacity,Electricity
